Cup,season,round,Date,HomeTeam,AwayTeam,competition_type,FTHG,FTAG,FTR,HomeDiv,AwayDiv,Div
CDR,2021,Third Round,2022-01-06,UD Almería,Elche CF,domestic_cup,1,2,A,ESP2,ESP1,DCUP
CDR,2021,Third Round,2022-01-06,Girona FC,CA Osasuna,domestic_cup,1,0,H,ESP2,ESP1,DCUP
FAC,2021,Third Round,2022-01-08,Leicester City,Watford FC,domestic_cup,4,1,H,ENG1,ENG2,DCUP
FAC,2021,Third Round,2022-01-08,Burnley FC,Huddersfield Town,domestic_cup,1,2,A,ENG1,ENG2,DCUP
FAC,2021,Third Round,2022-01-08,West Bromwich Albion,Brighton & Hove Albion,domestic_cup,1,2,A,ENG1,ENG1,DCUP
FAC,2021,Third Round,2022-01-08,Swansea City,Southampton FC,domestic_cup,2,3,A,ENG2,ENG1,DCUP
FAC,2021,Third Round,2022-01-09,Nottingham Forest,Arsenal FC,domestic_cup,1,0,H,ENG2,ENG1,DCUP
FAC,2021,Third Round,2022-01-09,Wolverhampton Wanderers,Sheffield United,domestic_cup,3,0,H,ENG1,ENG1,DCUP
FAC,2021,Third Round,2022-01-09,West Ham United,Leeds United,domestic_cup,2,0,H,ENG1,ENG1,DCUP
FAC,2021,Third Round,2022-01-10,Manchester United,Aston Villa,domestic_cup,1,0,H,ENG1,ENG1,DCUP
CIT,2021,Round of 16,2022-01-12,Atalanta BC,Venezia FC,domestic_cup,2,0,H,ITA1,ITA2,DCUP
CIT,2021,Round of 16,2022-01-13,SSC Napoli,ACF Fiorentina,domestic_cup,2,5,A,ITA1,ITA1,DCUP
CIT,2021,Round of 16,2022-01-13,AC Milan,Genoa CFC,domestic_cup,3,1,H,ITA1,ITA1,DCUP
CDR,2021,Round of 16,2022-01-15,RCD Mallorca,RCD Espanyol Barcelona,domestic_cup,2,1,H,ESP2,ESP2,DCUP
CDR,2021,Round of 16,2022-01-15,Sporting Gijón,Cádiz CF,domestic_cup,2,4,A,ESP2,ESP1,DCUP
CDR,2021,Round of 16,2022-01-15,Girona FC,Rayo Vallecano,domestic_cup,1,2,A,ESP2,ESP2,DCUP
CDR,2021,Round of 16,2022-01-16,Real Betis Balompié,Sevilla FC,domestic_cup,2,1,H,ESP1,ESP1,DCUP
CIT,2021,Round of 16,2022-01-18,Juventus FC,UC Sampdoria,domestic_cup,4,1,H,ITA1,ITA1,DCUP
CIT,2021,Round of 16,2022-01-18,SS Lazio,Udinese Calcio,domestic_cup,1,0,H,ITA1,ITA1,DCUP
DFB,2021,Round of 16,2022-01-18,VfL Bochum,1.FSV Mainz 05,domestic_cup,3,1,H,DEU2,DEU1,DCUP
CIT,2021,Round of 16,2022-01-19,US Sassuolo,Cagliari Calcio,domestic_cup,1,0,H,ITA1,ITA1,DCUP
CDR,2021,Round of 16,2022-01-19,Real Sociedad,Atlético de Madrid,domestic_cup,2,0,H,ESP1,ESP1,DCUP
CIT,2021,Round of 16,2022-01-19,Inter Milan,FC Empoli,domestic_cup,3,2,H,ITA1,ITA2,DCUP
DFB,2021,Round of 16,2022-01-19,Hannover 96,Borussia Mönchengladbach,domestic_cup,3,0,H,DEU2,DEU1,DCUP
DFB,2021,Round of 16,2022-01-19,TSG 1899 Hoffenheim,SC Freiburg,domestic_cup,1,4,A,DEU1,DEU1,DCUP
DFB,2021,Round of 16,2022-01-19,Hertha BSC,1.FC Union Berlin,domestic_cup,2,3,A,DEU1,DEU1,DCUP
CIT,2021,Round of 16,2022-01-20,AS Roma,US Lecce,domestic_cup,3,1,H,ITA1,ITA2,DCUP
CDR,2021,Round of 16,2022-01-20,Elche CF,Real Madrid,domestic_cup,1,2,A,ESP1,ESP1,DCUP
CDR,2021,Round of 16,2022-01-20,Athletic Bilbao,FC Barcelona,domestic_cup,3,2,H,ESP1,ESP1,DCUP
